locationid,day_of_week,hour,norm_value
41,0,15,0.23111579816962022
41,0,16,0.2601202512816778
41,0,17,0.2922385218427382
41,0,18,0.27086599184928467
41,0,19,0.21822647080273117
41,0,20,0.17559257740965267
41,0,21,0.1425985122347186
41,0,22,0.11672393439321954
41,0,23,0.09066844667798941
41,1,0,0.06349564566283712
41,1,1,0.03552875352724556
41,1,2,0.023140305022050774
41,1,3,0.01565145824463441
41,1,4,0.021083421614708938
41,1,5,0.03214296134887557
41,1,6,0.07783127088403316
41,1,7,0.19853206716096822
41,1,8,0.2821521433943641
41,1,9,0.22361878744161634
41,1,10,0.17826239952322595
41,1,11,0.16744252319118422
41,1,12,0.17463747583365166
41,1,13,0.18428337287490498
41,1,14,0.2067381770852274
41,1,15,0.24614199192446093
41,1,16,0.26514052637256474
41,1,17,0.3131883195271503
41,1,18,0.29008335398336377
41,1,19,0.23649743098401185
41,1,20,0.1889863186482223
41,1,21,0.15782056394393473
41,1,22,0.13567605699240098
41,1,23,0.10399734839517
41,2,0,0.07106000854084639
41,2,1,0.04073662915128931
41,2,2,0.026948736890354683
41,2,3,0.019909405599850827
41,2,4,0.023017696189311914
41,2,5,0.033614828469877775
41,2,6,0.07682209462090132
41,2,7,0.19869991360131664
41,2,8,0.2811066318885995
41,2,9,0.22336141066739992
41,2,10,0.18268601976223978
41,2,11,0.1721341161030281
41,2,12,0.17972464627945975
41,2,13,0.19067617502067083
41,2,14,0.21020647548550744
41,2,15,0.2478137624336525
41,2,16,0.26998213159054385
41,2,17,0.31308320323679356
41,2,18,0.29144540988069895
41,2,19,0.23902992105538218
41,2,20,0.1932559142669963
41,2,21,0.16730752568198645
41,2,22,0.14326411786514914
41,2,23,0.11614292785505564
41,3,0,0.07842200418840425
41,3,1,0.04549879884504791
41,3,2,0.030664591033286583
41,3,3,0.022401252728578774
41,3,4,0.024562667762471863
41,3,5,0.032589154147912226
41,3,6,0.07649656136500786
41,3,7,0.19315421056286777
41,3,8,0.27282773405427324
41,3,9,0.22030928460865118
41,3,10,0.18151905477249922
41,3,11,0.17727458522697612
41,3,12,0.18193601643513685
41,3,13,0.19384384968344348
41,3,14,0.21156693465789725
41,3,15,0.25419863350658384
41,3,16,0.27650105122543595
41,3,17,0.31498602213361054
41,3,18,0.2962023812547338
41,3,19,0.24910709277294077
41,3,20,0.20065895495230576
41,3,21,0.17256939068273658
41,3,22,0.15255112626105163
41,3,23,0.12607037923994052
41,4,0,0.09348818548593377
41,4,1,0.057071368067259855
41,4,2,0.03836773773973213
41,4,3,0.027302367188208956
41,4,4,0.027832556377558087
41,4,5,0.032433585152639485
41,4,6,0.07446394890534364
41,4,7,0.1880858670210745
41,4,8,0.25693528719004377
41,4,9,0.21980239814100924
41,4,10,0.1898394978816656
41,4,11,0.19101322231149614
41,4,12,0.20688626106091174
41,4,13,0.2183715688174116
41,4,14,0.2384626830683789
41,4,15,0.27878281918777487
41,4,16,0.2958598306342946
41,4,17,0.32442453085218337
41,4,18,0.30605976262128254
41,4,19,0.26943677250374803
41,4,20,0.22441039568819418
41,4,21,0.1939775961065685
41,4,22,0.17682164383491986
41,4,23,0.16060813934511486
41,5,0,0.13181244890329058
41,5,1,0.09907709609972844
41,5,2,0.07646501203287846
41,5,3,0.0595937037367754
41,5,4,0.048098258330462794
41,5,5,0.034857107249523844
41,5,6,0.043848720973629594
41,5,7,0.07799354666994666
41,5,8,0.122806961325205
41,5,9,0.175676001314156
41,5,10,0.20406978361928615
41,5,11,0.22827257908666665
41,5,12,0.23989387434820733
41,5,13,0.252019455600518
41,5,14,0.25282212641546586
41,5,15,0.2584862418074838
41,5,16,0.26220341679038695
41,5,17,0.2603828661643309
41,5,18,0.2593876647992401
41,5,19,0.2394737784271152
41,5,20,0.20687152211461038
41,5,21,0.18391937511993217
41,5,22,0.1728594278180642
41,5,23,0.1633506808709742
41,6,0,0.13578224729822763
41,6,1,0.10624670253382364
41,6,2,0.07996443137009275
41,6,3,0.06493968265946398
41,6,4,0.05350618465401516
41,6,5,0.035359986152208575
41,6,6,0.04072093798039858
41,6,7,0.06555818213111377
41,6,8,0.09735268485478245
41,6,9,0.16871172217467895
41,6,10,0.2148167695297533
41,6,11,0.22371960028791557
41,6,12,0.2211944861499573
41,6,13,0.22564696516891528
41,6,14,0.2255396697394283
41,6,15,0.22514273392648082
41,6,16,0.22239596727423924
41,6,17,0.22091335040323634
41,6,18,0.21130726296821492
41,6,19,0.184097106752919
41,6,20,0.15996294413270254
41,6,21,0.13635535228891765
41,6,22,0.12224989512324076
41,6,23,0.10159906157589219
42,0,0,0.11887008093498512
42,0,1,0.07465983684903524
42,0,2,0.05060870446353818
42,0,3,0.033215573956911396
42,0,4,0.030400393392946076
42,0,5,0.038217631607018125
42,0,6,0.08223013640670535
42,0,7,0.18865804260793292
42,0,8,0.21437007243253506
42,0,9,0.17090512491985044
42,0,10,0.13503205362253146
42,0,11,0.13124474647425552
42,0,12,0.1398034667122761
42,0,13,0.14941550586395252
42,0,14,0.16708738449691776
42,0,15,0.19258523178949058
42,0,16,0.22148953026265908
42,0,17,0.2359671578713868
42,0,18,0.22137519038134232
42,0,19,0.19278672744690145
42,0,20,0.16960109272652524
42,0,21,0.15645938995436162
42,0,22,0.1458106630137258
42,0,23,0.13572885443026422
42,1,0,0.09773162018819066
42,1,1,0.05729819400092906
42,1,2,0.037770350878329126
42,1,3,0.025347496293019772
42,1,4,0.025646567642595645
42,1,5,0.04051675622337536
42,1,6,0.08550709116068196
42,1,7,0.20718093654004774
42,1,8,0.23739482892834318
42,1,9,0.19019379608229753
42,1,10,0.14573650396103038
42,1,11,0.139036534606297
42,1,12,0.14896758611480218
42,1,13,0.15702362573408432
42,1,14,0.17992421654239216
42,1,15,0.2032084286649815
42,1,16,0.23274361951537423
42,1,17,0.24778311227234634
42,1,18,0.23688799528983087
42,1,19,0.209151923859692
42,1,20,0.18269226839698652
42,1,21,0.17411678188945381
42,1,22,0.16020577912561637
42,1,23,0.14890250414652687
42,2,0,0.10844514147234655
42,2,1,0.06690528631593205
42,2,2,0.04425325527512547
42,2,3,0.031239570621458056
42,2,4,0.0273895765750968
